edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,8,5,0d52ca28-f227-42f3-b248-4951befd26c1,b33d1936-caaa-471f-a267-5bff6f499886,041cafb6-40d0-4f69-9169-34a6c86626c3,4a0a7226-22dd-40d2-962c-044f1f36b7f4
2,3,9,0d52ca28-f227-42f3-b248-4951befd26c1,ab77439b-ad2d-4a25-ad18-b5e01c21a388,2e72b4f7-0169-414b-a450-8296304ce0c0,4dd2cc21-7b18-4382-a5b1-187296108594
3,1,8,0d52ca28-f227-42f3-b248-4951befd26c1,813a1a13-d486-43d3-a204-fc50fb824691,849a8130-af47-41c9-9f1e-470a08ea2342,041cafb6-40d0-4f69-9169-34a6c86626c3
4,8,1,0d52ca28-f227-42f3-b248-4951befd26c1,2f9361b4-8ccf-4634-bc80-dd00e8c71f18,041cafb6-40d0-4f69-9169-34a6c86626c3,849a8130-af47-41c9-9f1e-470a08ea2342
5,3,7,0d52ca28-f227-42f3-b248-4951befd26c1,1c4e35c6-5071-4c4f-9de4-ae53671157cd,2e72b4f7-0169-414b-a450-8296304ce0c0,49a24a5a-6e9e-4321-8ad1-ab3021323261
6,4,3,0d52ca28-f227-42f3-b248-4951befd26c1,9dca4633-1fa7-4946-ad9a-95f5324f3d65,3085334d-ed14-4e43-9240-3b57c16ee61b,2e72b4f7-0169-414b-a450-8296304ce0c0
7,4,7,0d52ca28-f227-42f3-b248-4951befd26c1,6ca0e4a5-bee2-4b84-8515-04613256b610,3085334d-ed14-4e43-9240-3b57c16ee61b,49a24a5a-6e9e-4321-8ad1-ab3021323261
8,8,3,0d52ca28-f227-42f3-b248-4951befd26c1,d219f79a-6e5f-48f5-9c7c-97cce0cbf1b5,041cafb6-40d0-4f69-9169-34a6c86626c3,2e72b4f7-0169-414b-a450-8296304ce0c0
9,2,9,0d52ca28-f227-42f3-b248-4951befd26c1,e5c515b5-483d-47f8-a0bc-86f15ca8f2a2,890b825b-8f50-44e2-bf5f-3d123bb5e910,4dd2cc21-7b18-4382-a5b1-187296108594
10,1,2,0d52ca28-f227-42f3-b248-4951befd26c1,88952e53-4297-4e5a-869b-dec8a7150ab5,849a8130-af47-41c9-9f1e-470a08ea2342,890b825b-8f50-44e2-bf5f-3d123bb5e910
11,5,4,0d52ca28-f227-42f3-b248-4951befd26c1,319c9cba-1491-41e8-96b7-b95bfb19f8a0,4a0a7226-22dd-40d2-962c-044f1f36b7f4,3085334d-ed14-4e43-9240-3b57c16ee61b
12,3,1,0d52ca28-f227-42f3-b248-4951befd26c1,e320c853-e065-4897-89e5-d8ad6f31ec5e,2e72b4f7-0169-414b-a450-8296304ce0c0,849a8130-af47-41c9-9f1e-470a08ea2342
13,8,8,0d52ca28-f227-42f3-b248-4951befd26c1,9f9b5e94-c5a8-406e-aaa2-4599515675d2,041cafb6-40d0-4f69-9169-34a6c86626c3,041cafb6-40d0-4f69-9169-34a6c86626c3
14,2,1,0d52ca28-f227-42f3-b248-4951befd26c1,37fd4a00-6e2a-499a-a61c-78aef55d7286,890b825b-8f50-44e2-bf5f-3d123bb5e910,849a8130-af47-41c9-9f1e-470a08ea2342
15,7,6,0d52ca28-f227-42f3-b248-4951befd26c1,36f7571f-e622-476c-9001-4b54dc6ad330,49a24a5a-6e9e-4321-8ad1-ab3021323261,c3b948eb-1acc-48d6-b8a1-d4aef9851fbe
16,7,5,0d52ca28-f227-42f3-b248-4951befd26c1,caef778f-da30-4941-a4a3-3436dd9c8a99,49a24a5a-6e9e-4321-8ad1-ab3021323261,4a0a7226-22dd-40d2-962c-044f1f36b7f4
17,1,3,0d52ca28-f227-42f3-b248-4951befd26c1,4a9ce1e4-da0d-43b8-8e2d-fb5cd75869a6,849a8130-af47-41c9-9f1e-470a08ea2342,2e72b4f7-0169-414b-a450-8296304ce0c0
18,4,2,0d52ca28-f227-42f3-b248-4951befd26c1,6f5b7012-40b4-44c2-a280-7d8c87c36631,3085334d-ed14-4e43-9240-3b57c16ee61b,890b825b-8f50-44e2-bf5f-3d123bb5e910
