edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,3,13,dd469149-7c2d-4f2f-838c-76b9932a6afe,3f790566-4778-4e79-b8d1-634687b1716f,028382b1-97ad-4692-a962-804704fbfbae,4a95fd77-1332-4eff-a037-84c07d66505e
2,4,6,dd469149-7c2d-4f2f-838c-76b9932a6afe,f6674e37-f525-4873-a285-d88fc8011d7e,9f527527-71aa-4404-8451-3b0867b147d2,53605b2d-5413-4d1b-b07a-9e7c48257819
3,16,6,dd469149-7c2d-4f2f-838c-76b9932a6afe,aa9d620a-4807-4c51-a4c8-aa21bba37dd2,e5e69d8c-7e86-41f7-9c6d-f537ad1f4491,53605b2d-5413-4d1b-b07a-9e7c48257819
4,10,17,dd469149-7c2d-4f2f-838c-76b9932a6afe,a41761cf-0f85-44c0-bb2d-1c77e65f53d3,9a951e3d-9ad9-4c7d-ad77-43cc2f51fc9f,988adf16-00ea-47fc-98c0-cf9ac994695c
5,8,18,dd469149-7c2d-4f2f-838c-76b9932a6afe,17d90aef-54e9-4646-9e58-522145ae63c2,47774ad1-2742-45f0-9f59-c94c0c77c2f6,713a43c6-5464-4c6a-aa7f-d680c3f6a247
6,13,3,dd469149-7c2d-4f2f-838c-76b9932a6afe,8f4f4d76-21be-4c5f-bf96-f45dd239c899,4a95fd77-1332-4eff-a037-84c07d66505e,028382b1-97ad-4692-a962-804704fbfbae
7,14,10,dd469149-7c2d-4f2f-838c-76b9932a6afe,17c68e18-1707-4ee9-aaf2-7de868ef12b4,57c766de-dfcf-4027-8327-165b98c0da05,9a951e3d-9ad9-4c7d-ad77-43cc2f51fc9f
8,8,11,dd469149-7c2d-4f2f-838c-76b9932a6afe,007339ea-027a-4b7e-adab-d55a6bdccbee,47774ad1-2742-45f0-9f59-c94c0c77c2f6,1b3d6ed2-195c-4ef2-864d-6b47b9b8f3e8
9,4,13,dd469149-7c2d-4f2f-838c-76b9932a6afe,4881c74e-a210-40c8-b05d-f06aa7134daa,9f527527-71aa-4404-8451-3b0867b147d2,4a95fd77-1332-4eff-a037-84c07d66505e
10,13,14,dd469149-7c2d-4f2f-838c-76b9932a6afe,93333d86-bfae-449c-ab53-a39f583406ce,4a95fd77-1332-4eff-a037-84c07d66505e,57c766de-dfcf-4027-8327-165b98c0da05
11,11,4,dd469149-7c2d-4f2f-838c-76b9932a6afe,7b73844f-2a74-4abc-a592-fac302b53ce4,1b3d6ed2-195c-4ef2-864d-6b47b9b8f3e8,9f527527-71aa-4404-8451-3b0867b147d2
12,3,11,dd469149-7c2d-4f2f-838c-76b9932a6afe,7c114e57-86ee-403b-a700-7932ae72c3fb,028382b1-97ad-4692-a962-804704fbfbae,1b3d6ed2-195c-4ef2-864d-6b47b9b8f3e8
13,5,6,dd469149-7c2d-4f2f-838c-76b9932a6afe,f6409c58-d39a-4fee-92ab-366cc26498c2,84c09d9a-5c4d-44ec-a993-e4fb058a6f39,53605b2d-5413-4d1b-b07a-9e7c48257819
14,4,14,dd469149-7c2d-4f2f-838c-76b9932a6afe,453c397b-b275-4772-8006-81c9a22b887e,9f527527-71aa-4404-8451-3b0867b147d2,57c766de-dfcf-4027-8327-165b98c0da05
15,17,13,dd469149-7c2d-4f2f-838c-76b9932a6afe,ef7eba7a-0f24-4264-b4a6-68ab4808bcdd,988adf16-00ea-47fc-98c0-cf9ac994695c,4a95fd77-1332-4eff-a037-84c07d66505e
16,17,2,dd469149-7c2d-4f2f-838c-76b9932a6afe,8de92f3e-17af-412a-881d-a699af040d17,988adf16-00ea-47fc-98c0-cf9ac994695c,9cbbd296-fa20-4a05-a56c-26aa40f27321
17,11,17,dd469149-7c2d-4f2f-838c-76b9932a6afe,44d0bdcd-850c-4ef3-90d3-be223e305e39,1b3d6ed2-195c-4ef2-864d-6b47b9b8f3e8,988adf16-00ea-47fc-98c0-cf9ac994695c
18,8,6,dd469149-7c2d-4f2f-838c-76b9932a6afe,87d90a6f-66ac-48f7-9950-5bf3db501314,47774ad1-2742-45f0-9f59-c94c0c77c2f6,53605b2d-5413-4d1b-b07a-9e7c48257819
19,17,8,dd469149-7c2d-4f2f-838c-76b9932a6afe,5e133f6a-ee90-4a26-baf2-095992be19e1,988adf16-00ea-47fc-98c0-cf9ac994695c,47774ad1-2742-45f0-9f59-c94c0c77c2f6
