edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,9,1,a9698237-929b-4f68-a907-d506163f0b81,884ffb96-d8d6-4fc1-b7cb-6e82e7406918,1b11772f-7ce6-4462-8cb4-f97fcdc24602,a7c57f85-8a90-44d5-a234-ae058e923d5c
2,7,7,a9698237-929b-4f68-a907-d506163f0b81,7a6d1706-b3a0-425a-8717-a5a52b802f16,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,a76c43f3-a182-41b6-a9f9-545dd2f86dc1
3,8,11,a9698237-929b-4f68-a907-d506163f0b81,3a721d6d-d329-47cd-871c-64bbebed28b6,7c9a2af7-5c03-4dd1-8fa9-43e24a32f438,daba6135-70ed-4fd4-81ff-60e961f62cba
4,6,6,a9698237-929b-4f68-a907-d506163f0b81,2fd7a5ba-d851-4ed1-bf19-6077c5cd77c5,4224f876-716a-4414-ace4-ea92f38ccb80,4224f876-716a-4414-ace4-ea92f38ccb80
5,14,9,a9698237-929b-4f68-a907-d506163f0b81,38ac7d3e-986a-4ce8-8c8e-54e38ae2bc4a,2e3561c9-2749-4ee3-9572-981ec20bc09a,1b11772f-7ce6-4462-8cb4-f97fcdc24602
6,11,7,a9698237-929b-4f68-a907-d506163f0b81,5869845f-0b15-483c-9d2d-64bdee4427b0,daba6135-70ed-4fd4-81ff-60e961f62cba,a76c43f3-a182-41b6-a9f9-545dd2f86dc1
7,7,12,a9698237-929b-4f68-a907-d506163f0b81,da574f41-b2af-461e-8001-e85082923dc5,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,18be7897-6d69-4cb4-9704-296cdfee20b4
8,14,6,a9698237-929b-4f68-a907-d506163f0b81,91258868-66a4-468a-a2ff-453a25a65648,2e3561c9-2749-4ee3-9572-981ec20bc09a,4224f876-716a-4414-ace4-ea92f38ccb80
9,7,8,a9698237-929b-4f68-a907-d506163f0b81,52c3d37c-3751-46c6-ae06-8c9adcc939c4,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,7c9a2af7-5c03-4dd1-8fa9-43e24a32f438
10,7,7,a9698237-929b-4f68-a907-d506163f0b81,07b04a1e-260f-4481-a22c-7e5bddeacc45,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,a76c43f3-a182-41b6-a9f9-545dd2f86dc1
11,7,7,a9698237-929b-4f68-a907-d506163f0b81,62a3d803-84b6-4acf-b711-74f4d15bac0a,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,a76c43f3-a182-41b6-a9f9-545dd2f86dc1
12,7,7,a9698237-929b-4f68-a907-d506163f0b81,27c9f8f3-2f97-48f2-b17f-4897e94f0b78,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,a76c43f3-a182-41b6-a9f9-545dd2f86dc1
13,6,12,a9698237-929b-4f68-a907-d506163f0b81,1af5bebd-fd25-4d42-854d-94d6e02afef0,4224f876-716a-4414-ace4-ea92f38ccb80,18be7897-6d69-4cb4-9704-296cdfee20b4
14,10,9,a9698237-929b-4f68-a907-d506163f0b81,63c386fa-e539-437c-b9bb-ba24fc835f62,c1564bb9-9f7f-4c7c-ab1a-2b0a45ef6810,1b11772f-7ce6-4462-8cb4-f97fcdc24602
15,5,12,a9698237-929b-4f68-a907-d506163f0b81,f823b9be-d849-4569-b5f1-c59887e470fb,f906c53f-ef0d-4074-b9c7-e6d6f96dfeac,18be7897-6d69-4cb4-9704-296cdfee20b4
16,6,1,a9698237-929b-4f68-a907-d506163f0b81,1dc93f38-9837-40ca-8deb-057fdf265d14,4224f876-716a-4414-ace4-ea92f38ccb80,a7c57f85-8a90-44d5-a234-ae058e923d5c
17,2,10,a9698237-929b-4f68-a907-d506163f0b81,21964a80-be40-4994-b00a-25156d324b58,934100fd-261f-4876-b35a-8b1235a9e85e,c1564bb9-9f7f-4c7c-ab1a-2b0a45ef6810
18,10,9,a9698237-929b-4f68-a907-d506163f0b81,88d42ddb-0f4e-40cd-9b21-00eeb7b9ae75,c1564bb9-9f7f-4c7c-ab1a-2b0a45ef6810,1b11772f-7ce6-4462-8cb4-f97fcdc24602
