edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,9,5,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,a8b0fabc-979e-46c9-83e9-907569647e8f,8302446d-d4ca-403f-b9c9-2bd0985ff7c4,32999772-b797-4048-a8ff-5f34ce1fb6d3
2,6,2,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,1bce1a1f-a370-4f88-86f3-5e979668af8d,b02d1cf1-3974-49b2-994e-afc431ee408e,a19f9ec8-6a12-4d21-9358-67c95f3a4c06
3,10,5,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,80e6104d-156d-4e05-921e-9369b1f0cd1d,717835da-2276-4b9d-9e2d-af26972e7683,32999772-b797-4048-a8ff-5f34ce1fb6d3
4,14,13,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,1210adaf-95c1-4a35-911e-54b64bd1b137,871862b4-864f-4c18-b822-79386ce58463,cdb452f4-b535-4e64-8717-96874b434576
5,7,6,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,64c4d648-eb78-40a4-9046-d3a2114d14e3,edbdbd8b-0dd9-47c3-86a3-6a1836da03ae,b02d1cf1-3974-49b2-994e-afc431ee408e
6,13,16,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,b5571a0b-7c93-400b-89e8-e3249bfd38e5,cdb452f4-b535-4e64-8717-96874b434576,5c01f0fb-c283-4d5a-b345-173f0fe16dd6
7,1,15,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,6b563019-a3d5-4af4-a3d3-d431ed7eeaa6,a61ed27d-6aaa-4480-b486-a5eb4cc40be2,b8f64978-f976-4c72-a929-10bf891567fc
8,6,4,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,fa899ebc-f05e-4092-9eb4-f4fbad3d275e,b02d1cf1-3974-49b2-994e-afc431ee408e,306ddef2-0a4b-4516-9ab3-b0d7261caf0b
9,7,3,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,10564cce-b6dd-4421-96f8-ad1731bf3f17,edbdbd8b-0dd9-47c3-86a3-6a1836da03ae,d1d149d5-e5f4-4174-b51e-dca26f9d0d3a
10,13,8,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,e0a01550-5cfb-496f-a20b-cd877d8404f2,cdb452f4-b535-4e64-8717-96874b434576,8a4999bc-7fa9-4908-91cc-42796ffd9be7
11,7,8,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,0f97d64f-276b-48cd-84cd-d3f83763c1a0,edbdbd8b-0dd9-47c3-86a3-6a1836da03ae,8a4999bc-7fa9-4908-91cc-42796ffd9be7
12,2,6,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,fd21f1c4-e780-450d-9c34-264b1f4779fc,a19f9ec8-6a12-4d21-9358-67c95f3a4c06,b02d1cf1-3974-49b2-994e-afc431ee408e
13,8,4,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,8acdbf62-b0ef-462d-bbfb-0344f1a42eb8,8a4999bc-7fa9-4908-91cc-42796ffd9be7,306ddef2-0a4b-4516-9ab3-b0d7261caf0b
14,8,3,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,b5166cab-c662-46d2-a8fe-362e2be644cc,8a4999bc-7fa9-4908-91cc-42796ffd9be7,d1d149d5-e5f4-4174-b51e-dca26f9d0d3a
15,9,12,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,3cd235ac-bac3-4eef-b993-9a13a43eb9dc,8302446d-d4ca-403f-b9c9-2bd0985ff7c4,d903023e-c265-4dbd-8b38-35cce89dda66
16,6,17,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,c0ea8bbe-e360-481d-809a-9a71b7a4dad5,b02d1cf1-3974-49b2-994e-afc431ee408e,a5ad98d0-da17-4b0c-9dfe-f1cd3bbf3826
17,15,14,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,1e7ebd24-b8a6-4f65-898c-27313bc888c6,b8f64978-f976-4c72-a929-10bf891567fc,871862b4-864f-4c18-b822-79386ce58463
18,17,15,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,8ab4fe30-b64a-4d86-bf45-6e870d57ed6d,a5ad98d0-da17-4b0c-9dfe-f1cd3bbf3826,b8f64978-f976-4c72-a929-10bf891567fc
